TRAV,TRBV,repeat_time,Th17,Th2/Tfh,Th1 Mem,Tregs
TRAV13-1,TRBV20-1,135,49,24,52,10
TRAV9-2,TRBV20-1,91,21,18,41,11
TRAV12-2,TRBV20-1,90,38,15,26,11
TRAV29/DV5,TRBV5-1,87,26,15,36,10
TRAV13-1,TRBV5-1,78,28,16,24,10
TRAV13-1,TRBV7-2,69,20,7,35,7
TRAV21,TRBV20-1,69,19,16,26,8
TRAV12-3,TRBV20-1,68,25,10,25,8
TRAV9-2,TRBV5-1,68,18,12,25,13
TRAV17,TRBV20-1,64,12,13,30,9
TRAV9-2,TRBV7-2,63,20,10,20,13
TRAV12-2,TRBV7-2,57,23,7,23,4
TRAV26-1,TRBV20-1,57,12,18,21,6
TRAV21,TRBV5-1,56,22,3,21,10
TRAV8-4,TRBV5-1,56,14,11,20,11
TRAV8-4,TRBV20-1,55,20,7,24,4
TRAV17,TRBV7-2,54,14,9,28,3
TRAV23/DV6,TRBV5-1,54,14,9,22,9
TRAV21,TRBV7-2,53,19,9,19,6
TRAV12-1,TRBV20-1,52,15,11,20,6
TRAV8-6,TRBV5-1,52,10,12,26,4
TRAV29/DV5,TRBV20-1,51,21,6,17,7
TRAV29/DV5,TRBV7-2,51,15,6,25,5
TRAV12-2,TRBV5-1,50,11,9,22,8
TRAV38-2/DV8,TRBV5-1,50,10,17,14,9
TRAV23/DV6,TRBV20-1,49,17,8,22,2
TRAV13-2,TRBV20-1,48,13,6,24,5
TRAV38-2/DV8,TRBV20-1,48,14,6,20,8
TRAV13-1,TRBV3-1,47,16,10,17,4
TRAV13-2,TRBV5-1,46,14,8,17,7
TRAV38-2/DV8,TRBV7-2,46,16,10,14,6
TRAV8-3,TRBV20-1,46,13,8,19,6
TRAV19,TRBV5-1,45,13,5,17,10
TRAV27,TRBV20-1,44,19,10,13,2
TRAV12-3,TRBV5-1,43,14,8,12,9
TRAV29/DV5,TRBV2,43,15,10,15,3
TRAV17,TRBV5-1,42,12,5,14,11
TRAV19,TRBV20-1,42,12,6,19,5
TRAV12-1,TRBV7-2,40,11,8,19,2
TRAV27,TRBV5-1,40,10,6,16,8
TRAV29/DV5,TRBV7-9,40,12,11,13,4
TRAV21,TRBV2,39,12,9,15,3
TRAV13-1,TRBV6-5,38,10,9,14,5
TRAV13-2,TRBV7-2,38,10,3,16,9
TRAV29/DV5,TRBV28,38,13,6,14,5
TRAV9-2,TRBV2,38,15,8,10,5
TRAV12-2,TRBV19,37,10,5,17,5
TRAV20,TRBV5-1,36,7,7,15,7
TRAV26-1,TRBV5-1,36,9,7,13,7
TRAV3,TRBV20-1,36,11,6,13,6
TRAV9-2,TRBV3-1,36,9,7,16,4
TRAV12-2,TRBV2,35,11,6,13,5
TRAV13-1,TRBV9,35,8,10,12,5
TRAV12-1,TRBV5-1,34,12,8,13,1
TRAV13-1,TRBV6-1,34,9,4,16,5
TRAV35,TRBV5-1,34,9,3,18,4
TRAV5,TRBV20-1,34,9,5,14,6
TRAV9-2,TRBV27,34,10,3,14,7
TRAV21,TRBV28,33,9,4,15,5
TRAV38-1,TRBV20-1,33,12,3,12,6
TRAV9-2,TRBV28,33,13,5,13,2
TRAV16,TRBV20-1,32,7,6,15,4
TRAV16,TRBV5-1,32,13,6,11,2
TRAV17,TRBV2,32,7,7,15,3
TRAV29/DV5,TRBV9,32,7,7,11,7
TRAV3,TRBV5-1,32,8,6,10,8
TRAV3,TRBV7-2,32,9,2,13,8
TRAV41,TRBV5-1,32,10,5,14,3
TRAV8-6,TRBV7-2,32,12,4,13,3
TRAV12-2,TRBV6-5,31,11,7,9,4
TRAV20,TRBV2,31,2,7,18,4
TRAV20,TRBV20-1,31,10,5,14,2
TRAV21,TRBV3-1,31,5,6,16,4
TRAV29/DV5,TRBV3-1,31,9,2,12,8
TRAV8-6,TRBV20-1,31,8,7,14,2
TRAV9-2,TRBV7-9,31,7,5,11,8
TRAV13-1,TRBV12-3,30,10,1,16,3
TRAV14/DV4,TRBV20-1,30,4,7,14,5
TRAV19,TRBV7-2,30,13,5,7,5
TRAV2,TRBV20-1,30,11,6,11,2
TRAV9-2,TRBV6-1,30,5,7,9,9
TRAV12-1,TRBV2,29,6,4,14,5
TRAV12-2,TRBV9,29,9,4,14,2
TRAV25,TRBV5-1,29,7,6,13,3
TRAV8-3,TRBV5-1,29,9,7,7,6
TRAV9-2,TRBV9,29,11,4,12,2
TRAV13-1,TRBV2,28,8,6,10,4
TRAV14/DV4,TRBV7-2,28,10,5,11,2
TRAV21,TRBV6-2,28,6,3,15,4
TRAV23/DV6,TRBV2,28,9,6,11,2
TRAV23/DV6,TRBV7-2,28,14,2,10,2
TRAV26-1,TRBV3-1,28,6,8,11,3
TRAV26-1,TRBV7-2,28,5,9,11,3
TRAV29/DV5,TRBV27,28,2,9,14,3
TRAV12-1,TRBV28,27,11,4,10,2
TRAV12-2,TRBV30,27,12,3,11,1
TRAV16,TRBV7-2,27,9,5,13,0
TRAV29/DV5,TRBV6-2,27,10,3,12,2
TRAV3,TRBV2,27,12,2,10,3
TRAV36/DV7,TRBV20-1,27,7,7,9,4
TRAV38-2/DV8,TRBV2,27,8,8,6,5
TRAV8-3,TRBV7-2,27,8,4,11,4
TRAV12-2,TRBV28,26,14,3,6,3
TRAV13-1,TRBV19,26,8,5,8,5
TRAV13-1,TRBV27,26,7,4,10,5
TRAV13-1,TRBV28,26,7,2,13,4
TRAV13-1,TRBV5-4,26,12,3,10,1
TRAV17,TRBV6-5,26,8,2,13,3
TRAV19,TRBV2,26,7,3,16,0
TRAV19,TRBV7-9,26,10,7,4,5
TRAV21,TRBV11-2,26,5,5,13,3
TRAV35,TRBV20-1,26,7,6,8,5
TRAV38-1,TRBV5-1,26,6,4,5,11
TRAV38-1,TRBV7-2,26,9,4,10,3
TRAV6,TRBV20-1,26,7,5,10,4
TRAV8-4,TRBV28,26,8,2,9,7
TRAV8-4,TRBV7-9,26,11,3,8,4
TRAV9-2,TRBV5-4,26,5,5,11,5
TRAV17,TRBV28,25,8,2,12,3
TRAV17,TRBV3-1,25,7,2,8,8
TRAV21,TRBV19,25,6,4,10,5
TRAV23/DV6,TRBV6-5,25,14,4,6,1
TRAV26-2,TRBV20-1,25,8,5,8,4
TRAV38-2/DV8,TRBV7-9,25,8,2,12,3
TRAV8-4,TRBV3-1,25,10,4,8,3
TRAV8-6,TRBV2,25,7,3,10,5
TRAV9-2,TRBV6-5,25,5,6,9,5
TRAV13-1,TRBV29-1,24,7,9,7,1
TRAV14/DV4,TRBV5-1,24,6,6,9,3
TRAV2,TRBV28,24,10,3,6,5
TRAV21,TRBV7-9,24,5,5,5,9
TRAV23/DV6,TRBV7-9,24,9,5,8,2
TRAV27,TRBV6-5,24,8,4,10,2
TRAV29/DV5,TRBV19,24,7,3,9,5
TRAV29/DV5,TRBV30,24,7,2,12,3
TRAV41,TRBV7-2,24,8,4,11,1
TRAV8-1,TRBV7-2,24,10,2,7,5
TRAV9-2,TRBV19,24,5,7,7,5
TRAV12-1,TRBV7-9,23,8,6,7,2
TRAV12-3,TRBV3-1,23,6,2,8,7
TRAV12-3,TRBV7-2,23,8,5,9,1
TRAV12-3,TRBV9,23,6,7,6,4
TRAV13-2,TRBV28,23,9,1,11,2
TRAV17,TRBV19,23,8,5,4,6
TRAV17,TRBV30,23,5,4,10,4
TRAV17,TRBV7-9,23,2,7,9,5
TRAV2,TRBV5-1,23,13,3,6,1
TRAV20,TRBV7-2,23,6,5,10,2
TRAV20,TRBV7-3,23,5,2,14,2
TRAV21,TRBV18,23,10,1,8,4
TRAV27,TRBV2,23,11,3,7,2
TRAV5,TRBV7-2,23,9,6,7,1
TRAV8-3,TRBV7-9,23,8,4,6,5
TRAV10,TRBV20-1,22,4,6,11,1
TRAV12-1,TRBV6-1,22,6,5,10,1
TRAV12-2,TRBV18,22,10,2,10,0
TRAV12-2,TRBV6-1,22,4,8,7,3
TRAV13-2,TRBV2,22,4,2,12,4
TRAV2,TRBV7-2,22,8,5,7,2
TRAV21,TRBV12-4,22,12,3,6,1
TRAV21,TRBV30,22,7,1,11,3
TRAV21,TRBV6-1,22,6,4,6,6
TRAV21,TRBV6-6,22,6,3,11,2
TRAV21,TRBV9,22,9,4,8,1
TRAV25,TRBV20-1,22,10,4,6,2
TRAV26-1,TRBV2,22,6,5,8,3
TRAV26-1,TRBV7-9,22,7,6,4,5
TRAV4,TRBV20-1,22,4,8,10,0
TRAV8-6,TRBV6-2,22,9,2,6,5
TRAV13-1,TRBV6-6,21,7,5,7,2
TRAV13-1,TRBV7-9,21,7,5,7,2
TRAV13-2,TRBV7-9,21,9,3,8,1
TRAV17,TRBV29-1,21,5,7,8,1
TRAV20,TRBV5-4,21,4,1,16,0
TRAV27,TRBV30,21,8,1,10,2
TRAV27,TRBV7-2,21,8,1,9,3
TRAV29/DV5,TRBV12-3,21,8,5,7,1
