TRAV,total,Th1 Mem,Th17,Th2/Tfh,Tregs
TRAV13-1,921,355,288,164,114
TRAV9-2,858,318,236,161,143
TRAV29/DV5,767,293,234,136,104
TRAV21,753,305,229,117,102
TRAV12-2,706,263,259,106,78
TRAV17,654,258,170,122,104
TRAV38-2/DV8,545,184,167,114,80
TRAV8-4,528,197,175,85,71
TRAV12-1,510,193,154,109,54
TRAV23/DV6,485,193,177,71,44
TRAV12-3,481,171,157,83,70
TRAV26-1,470,151,124,114,81
TRAV8-6,449,189,140,73,47
TRAV13-2,443,190,136,64,53
TRAV27,425,156,134,84,51
TRAV8-3,414,130,128,91,65
TRAV20,407,175,114,80,38
TRAV3,404,143,119,74,68
TRAV19,385,131,111,84,59
TRAV2,357,120,147,53,37
TRAV14/DV4,346,131,92,72,51
TRAV38-1,343,113,92,75,63
TRAV16,317,124,97,65,31
TRAV35,306,107,95,63,41
TRAV25,264,97,87,50,30
TRAV41,263,101,80,45,37
TRAV5,259,102,79,44,34
TRAV6,238,90,69,31,48
TRAV26-2,236,95,66,49,26
TRAV1-2,222,84,62,45,31
TRAV10,220,97,65,47,11
TRAV8-1,218,77,72,43,26
TRAV4,207,69,57,56,25
TRAV36/DV7,202,84,55,26,37
TRAV22,198,67,48,51,32
TRAV8-2,191,73,55,40,23
TRAV39,156,55,50,31,20
TRAV1-1,141,56,46,26,13
TRAV24,132,48,39,31,14
TRAV30,110,46,35,18,11
TRAV34,82,35,26,11,10
TRAV40,45,20,10,6,9
TRAV18,1,0,0,0,1
TRAV7,1,0,0,1,0
